timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1514403877.295698,0.851890,1.456435,0.905230,0.100354,-0.017258,0.171199,0.085849,-0.993468,-0.075130,0.056057,-0.001649,0.012950,-30.235626,-47.064545,35.265808,,,,,,,1
1514403877.305708,0.845867,1.458574,0.911145,0.090612,-0.015665,0.215042,0.083804,-0.993710,-0.074236,0.091138,0.001400,-0.002912,-30.679535,-47.333042,35.417267,,,,,,,1
1514403877.315687,0.837515,1.461060,0.919049,0.106367,-0.062377,0.258714,0.081345,-0.993985,-0.073279,0.091934,0.016522,-0.036950,-30.679535,-47.333042,35.417267,,,,,,,1
1514403877.325697,0.827918,1.463913,0.927817,0.124389,-0.090602,0.281081,0.078548,-0.994293,-0.072137,0.040989,0.008621,-0.059928,-30.693054,-46.849045,35.387970,,,,,,,1
1514403877.335676,0.818654,1.466621,0.936508,0.114964,-0.050658,0.260921,0.075909,-0.994579,-0.071021,0.009372,0.019924,-0.028329,-30.693054,-46.849045,35.387970,,,,,,,1
1514403877.345655,0.809281,1.469440,0.945654,0.128930,-0.022056,0.280326,0.073210,-0.994868,-0.069794,0.019884,0.024912,-0.000992,-31.068710,-46.765659,35.547485,,,,,,,1
1514403877.355665,0.797865,1.472601,0.956933,0.134200,-0.019310,0.313505,0.070156,-0.995183,-0.068428,0.022847,0.000142,0.016624,-31.068710,-46.765659,35.547485,,,,,,,1
1514403877.365644,0.782846,1.475679,0.971798,0.105273,-0.022550,0.324136,0.066959,-0.995480,-0.067301,0.009854,-0.015049,0.044734,-31.167877,-46.483273,35.677612,,,,,,,1
1514403877.375624,0.764676,1.478402,0.990125,0.064807,0.020586,0.314631,0.063847,-0.995735,-0.066549,-0.011860,-0.014870,0.076254,-31.167877,-46.483273,35.677612,,,,,,,1
1514403877.385633,0.745161,1.480915,1.010434,0.059700,0.086988,0.317058,0.060839,-0.995963,-0.065943,0.005949,0.015418,0.063196,-31.436584,-46.338669,35.659027,,,,,,,1
1514403877.395613,0.722250,1.483726,1.034442,0.073489,0.093711,0.370592,0.057459,-0.996212,-0.065215,0.060965,0.025249,0.014465,-31.436584,-46.338669,35.659027,,,,,,,1
1514403877.405592,0.692203,1.486961,1.064564,0.086763,-0.040879,0.418145,0.053415,-0.996488,-0.064430,0.091070,0.002958,-0.041543,-32.125061,-46.237625,35.636169,,,,,,,1
1514403877.415602,0.658586,1.490029,1.097458,0.064194,-0.085461,0.394375,0.049347,-0.996740,-0.063769,0.062195,-0.004465,-0.035306,-32.125061,-46.237625,35.636169,,,,,,,1
1514403877.425581,0.625285,1.492508,1.130342,0.039882,-0.038716,0.350688,0.045749,-0.996937,-0.063371,0.006513,0.018772,0.001970,-32.334412,-45.870029,35.607086,,,,,,,1
1514403877.435560,0.595051,1.494821,1.160912,0.060619,0.051551,0.323319,0.042519,-0.997115,-0.062815,-0.048791,0.027862,-0.010976,-32.334412,-45.870029,35.607086,,,,,,,1
1514403877.445570,0.567292,1.497087,1.190318,0.067610,0.189956,0.304697,0.039545,-0.997285,-0.062064,-0.059457,0.019471,-0.012124,-32.497238,-45.687435,35.498932,,,,,,,1
1514403877.455549,0.541355,1.499306,1.218863,0.078636,0.267235,0.290087,0.036780,-0.997446,-0.061169,-0.016302,0.013437,-0.007907,-32.497238,-45.687435,35.498932,,,,,,,1
1514403877.465528,0.515786,1.501421,1.247248,0.078666,0.269529,0.279401,0.034163,-0.997595,-0.060254,0.013323,0.008871,-0.009631,-32.923752,-45.513313,35.584198,,,,,,,1
1514403877.475538,0.489389,1.503189,1.275880,0.052779,0.194984,0.254422,0.031730,-0.997715,-0.059575,-0.003166,0.007008,0.014287,-32.923752,-45.513313,35.584198,,,,,,,1
1514403877.485517,0.463051,1.504544,1.303642,0.035437,0.118233,0.231587,0.029546,-0.997806,-0.059180,-0.037343,0.000431,0.045249,-33.341888,-45.630615,35.414307,,,,,,,1
1514403877.495497,0.435669,1.505673,1.331843,0.019215,0.060657,0.216327,0.027438,-0.997880,-0.058942,-0.048373,-0.017195,0.070707,-33.341888,-45.630615,35.414307,,,,,,,1
1514403877.505506,0.406912,1.506639,1.360498,0.009219,-0.045217,0.206210,0.025351,-0.997943,-0.058824,-0.023947,-0.021131,0.069428,-33.559097,-45.303890,35.564636,,,,,,,1
1514403877.515486,0.380331,1.507230,1.385944,-0.012393,-0.140828,0.153334,0.023559,-0.997980,-0.058928,-0.016754,-0.020071,0.047163,-33.559097,-45.303890,35.564636,,,,,,,1
1514403877.525465,0.362312,1.507593,1.402307,0.005831,-0.170142,0.097616,0.022365,-0.998003,-0.059004,-0.022869,-0.001127,0.011442,-33.645309,-45.201511,35.677032,,,,,,,1
1514403877.535475,0.348298,1.508280,1.415183,0.045703,-0.091065,0.100179,0.021301,-0.998047,-0.058665,-0.044113,0.012878,-0.019963,-33.645309,-45.201511,35.677032,,,,,,,1
1514403877.545454,0.339885,1.509198,1.423169,0.079167,-0.034014,0.069475,0.020500,-0.998103,-0.057973,-0.044303,0.026698,-0.054896,-33.376968,-45.046448,35.625458,,,,,,,1
1514403877.555433,0.338510,1.510436,1.424238,0.126297,-0.036013,0.044948,0.020008,-0.998179,-0.056831,-0.010670,0.041392,-0.084069,-33.376968,-45.046448,35.625458,,,,,,,1
1514403877.565443,0.340534,1.511919,1.421806,0.145613,-0.034763,0.025735,0.019627,-0.998267,-0.055391,-0.014271,0.026969,-0.074995,-33.369812,-44.957550,35.813873,,,,,,,1
